ticker,calendar_quarter,capex,diluted_shares,eps_diluted,gross_profit,net_income,operating_income,revenue,gross_margin,operating_margin,net_margin,eps_diluted_calc
AMZN,2016Q4,2006000000.0,,,,,,,,,,
AMZN,2017Q1,1861000000.0,,,,,,,,,,
AMZN,2017Q2,3401000000.0,,,,,,,,,,
AMZN,2017Q3,3074000000.0,,,,,,,,,,
AMZN,2017Q4,3619000000.0,,,,,,,,,,
AMZN,2018Q1,3098000000.0,,,,,,,,,,
AMZN,2018Q2,3243000000.0,,,,,,,,,,
AMZN,2018Q3,3352000000.0,,,,,,,,,,
AMZN,2018Q4,3734000000.0,,,,,,,,,,
AMZN,2019Q1,3290000000.0,,,,,,,,,,
AMZN,2019Q2,3562000000.0,,,,,,,,,,
AMZN,2019Q3,4697000000.0,,,,,,,,,,
AMZN,2019Q4,5312000000.0,,,,,,,,,,
AMZN,2020Q1,6795000000.0,,,,,,,,,,
AMZN,2020Q2,7459000000.0,,,,,,,,,,
AMZN,2020Q3,11063000000.0,,,,,,,,,,
AMZN,2020Q4,14823000000.0,,,,,,,,,,
AMZN,2021Q1,12082000000.0,,,,,,,,,,
AMZN,2021Q2,14288000000.0,,,,,,,,,,
AMZN,2021Q3,15748000000.0,,,,,,,,,,
AMZN,2021Q4,18935000000.0,,,,,,,,,,
AMZN,2022Q1,14951000000.0,,,,,,,,,,
AMZN,2022Q2,15724000000.0,,,,,,,,,,
AMZN,2022Q3,16378000000.0,,,,,,,,,,
AMZN,2022Q4,16592000000.0,,,,,,,,,,
AMZN,2023Q1,14207000000.0,,,,,,,,,,
AMZN,2023Q2,11455000000.0,,,,,,,,,,
AMZN,2023Q3,12479000000.0,,,,,,,,,,
AMZN,2023Q4,14588000000.0,,,,,,,,,,
AMZN,2024Q1,14925000000.0,,,,,,,,,,
AMZN,2024Q2,17620000000.0,,,,,,,,,,
AMZN,2024Q3,22620000000.0,,,,,,,,,,
AMZN,2024Q4,27834000000.0,,,,,,,,,,
AMZN,2025Q1,25019000000.0,,,,,,,,,,
AMZN,2025Q2,32183000000.0,,,,,,,,,,
AMZN,2025Q3,35095000000.0,,,,,,,,,,
AMZN,2025Q4,39522000000.0,,,,,,,,,,
GOOGL,2010Q1,239000000.0,,,,,,,,,,
GOOGL,2010Q2,476000000.0,,,,,,,,,,
GOOGL,2010Q3,758000000.0,,,,,,,,,,
GOOGL,2010Q4,2545000000.0,,,,,,,,,,
GOOGL,2011Q1,890000000.0,,,,,,,,,,
GOOGL,2011Q2,917000000.0,,,,,,,,,,
GOOGL,2011Q3,680000000.0,,,,,,,,,,
GOOGL,2011Q4,951000000.0,,,,,,,,,,
GOOGL,2012Q1,607000000.0,,,,,,,,,,
GOOGL,2012Q2,774000000.0,,,,,,,,,,
GOOGL,2012Q3,872000000.0,,,,,,,,,,
GOOGL,2012Q4,1020000000.0,,,,,,,,,,
GOOGL,2013Q1,1203000000.0,,,,,,,,,,
GOOGL,2013Q2,1611000000.0,,,,,,,,,,
GOOGL,2013Q3,2289000000.0,,,,,,,,,,
GOOGL,2013Q4,2255000000.0,,,,,,,,,,
GOOGL,2014Q1,2345000000.0,,,,,,,,,,
GOOGL,2014Q2,2646000000.0,,,,,,,,,,
GOOGL,2014Q3,2417000000.0,,,,,,,,,,
GOOGL,2014Q4,3551000000.0,,,,,,,,,,
GOOGL,2015Q1,2927000000.0,,,,,,,,,,
GOOGL,2015Q2,2515000000.0,,,,,,,,,,
GOOGL,2015Q3,2373000000.0,,,,,,,,,,
GOOGL,2015Q4,2100000000.0,,,,,,,,,,
GOOGL,2016Q1,2428000000.0,,,,,,,,,,
GOOGL,2016Q2,2123000000.0,,,,,,,,,,
GOOGL,2016Q3,2583000000.0,,,,,,,,,,
GOOGL,2016Q4,3078000000.0,,,,,,,,,,
GOOGL,2017Q1,2508000000.0,,,,,,,,,,
GOOGL,2017Q2,2831000000.0,,,,,,,,,,
GOOGL,2017Q3,3538000000.0,,,,,,,,,,
GOOGL,2017Q4,4307000000.0,,,,,,,,,,
GOOGL,2018Q1,7299000000.0,,,,,,,,,,
GOOGL,2018Q2,5477000000.0,,,,,,,,,,
GOOGL,2018Q3,5282000000.0,,,,,,,,,,
GOOGL,2018Q4,7081000000.0,,,,,,,,,,
GOOGL,2019Q1,4638000000.0,,,,,,,,,,
GOOGL,2019Q2,6126000000.0,,,,,,,,,,
GOOGL,2019Q3,6732000000.0,,,,,,,,,,
GOOGL,2019Q4,6052000000.0,,,,,,,,,,
GOOGL,2020Q1,6005000000.0,,,,,,,,,,
GOOGL,2020Q2,5391000000.0,,,,,,,,,,
GOOGL,2020Q3,5406000000.0,,,,,,,,,,
GOOGL,2020Q4,5479000000.0,,,,,,,,,,
GOOGL,2021Q1,5942000000.0,,,,,,,,,,
GOOGL,2021Q2,5496000000.0,,,,,,,,,,
GOOGL,2021Q3,6819000000.0,,,,,,,,,,
GOOGL,2021Q4,6383000000.0,,,,,,,,,,
GOOGL,2022Q1,9786000000.0,,,,,,,,,,
GOOGL,2022Q2,6828000000.0,,,,,,,,,,
GOOGL,2022Q3,7276000000.0,,,,,,,,,,
GOOGL,2022Q4,7595000000.0,,,,,,,,,,
GOOGL,2023Q1,6289000000.0,,,,,,,,,,
GOOGL,2023Q2,6888000000.0,,,,,,,,,,
GOOGL,2023Q3,8055000000.0,,,,,,,,,,
GOOGL,2023Q4,11019000000.0,,,,,,,,,,
GOOGL,2024Q1,12012000000.0,,,,,,,,,,
GOOGL,2024Q2,13186000000.0,,,,,,,,,,
GOOGL,2024Q3,13061000000.0,,,,,,,,,,
GOOGL,2024Q4,14276000000.0,,,,,,,,,,
GOOGL,2025Q1,17197000000.0,,,,,,,,,,
GOOGL,2025Q2,22446000000.0,,,,,,,,,,
GOOGL,2025Q3,23953000000.0,,,,,,,,,,
GOOGL,2025Q4,27851000000.0,,,,,,,,,,
INTC,2010Q1,,5681000000.0,0.43,6529000000.0,2442000000.0,3448000000.0,10299000000.0,0.6339450432080784,0.3347897854160598,0.23711039906787068,0.42985389896145043
INTC,2010Q2,,5711000000.0,0.51,7235000000.0,2887000000.0,3981000000.0,10765000000.0,0.672085462145843,0.3698095680445889,0.268183929400836,0.5055156715111189
INTC,2010Q3,,5694000000.0,0.52,7321000000.0,2955000000.0,4136000000.0,11102000000.0,0.659430733201225,0.37254548729958564,0.26616825797153665,0.5189673340358272
INTC,2010Q4,,,,7406000000.0,3180000000.0,4023000000.0,11457000000.0,0.6464170376189229,0.3511390416339356,0.27755957056821157,
