ticker,calendar_quarter,quarter_end_date,source_ticker,qend_adj_close,qoq_return
NDX,2021Q4,2021-12-31,^NDX,16320.080078,0.11099401808989606
NDX,2022Q1,2022-03-31,^NDX,14838.490234,-0.09078324597176646
NDX,2022Q2,2022-06-30,^NDX,11503.719727,-0.22473785772078847
NDX,2022Q3,2022-09-30,^NDX,10971.219727,-0.04628937531833177
NDX,2022Q4,2022-12-30,^NDX,10939.759766,-0.002867498945680391
NDX,2023Q1,2023-03-31,^NDX,13181.349609,0.20490302263919036
NDX,2023Q2,2023-06-30,^NDX,15179.209961,0.15156720755178932
NDX,2023Q3,2023-09-29,^NDX,14715.240234,-0.030566131451641998
NDX,2023Q4,2023-12-29,^NDX,16825.929688,0.14343560964252489
NDX,2024Q1,2024-03-28,^NDX,18254.689453,0.08491416471441515
NDX,2024Q2,2024-06-28,^NDX,19682.869141,0.07823631794323904
NDX,2024Q3,2024-09-30,^NDX,20060.689453,0.019195388095782695
NDX,2024Q4,2024-12-31,^NDX,21012.169922,0.04743009811448484
NDX,2025Q1,2025-03-31,^NDX,19278.449219,-0.0825103123302261
NDX,2025Q2,2025-06-30,^NDX,22679.009766,0.17639180975451896
NDX,2025Q3,2025-09-30,^NDX,24679.990234,0.08823050427006907
NDX,2025Q4,2025-12-31,^NDX,25249.849609,0.023089935190288013
NDX,2026Q1,2026-03-31,^NDX,23740.189453,-0.05978887713699099
SOX,2010Q1,2010-03-31,^SOX,366.392731,
SOX,2010Q2,2010-06-30,^SOX,332.139282,-0.09348834215818558
SOX,2010Q3,2010-09-30,^SOX,349.071075,0.050977990010829366
SOX,2010Q4,2010-12-31,^SOX,411.62085,0.17918922385648828
SOX,2011Q1,2011-03-31,^SOX,437.148468,0.06201731034761715
SOX,2011Q2,2011-06-30,^SOX,410.15155,-0.061756862888056596
SOX,2011Q3,2011-09-30,^SOX,338.656128,-0.17431464540363184
SOX,2011Q4,2011-12-30,^SOX,364.263733,0.07561535989686852
SOX,2012Q1,2012-03-30,^SOX,438.427887,0.2036001591187777
SOX,2012Q2,2012-06-29,^SOX,385.27356,-0.12123847176719404
SOX,2012Q3,2012-09-28,^SOX,382.085114,-0.008275797591716372
SOX,2012Q4,2012-12-31,^SOX,384.059998,0.005168701756855132
SOX,2013Q1,2013-03-28,^SOX,436.660004,0.1369577833513398
SOX,2013Q2,2013-06-28,^SOX,468.429993,0.07275681012451973
SOX,2013Q3,2013-09-30,^SOX,490.829987,0.047819299222370715
SOX,2013Q4,2013-12-31,^SOX,535.030029,0.09005163329599086
SOX,2014Q1,2014-03-31,^SOX,586.73999,0.09664870791766345
SOX,2014Q2,2014-06-30,^SOX,635.929993,0.08383611793700974
SOX,2014Q3,2014-09-30,^SOX,638.47998,0.004009854902377485
SOX,2014Q4,2014-12-31,^SOX,686.869995,0.0757894006324209
SOX,2015Q1,2015-03-31,^SOX,695.47998,0.012535101347671995
SOX,2015Q2,2015-06-30,^SOX,680.539978,-0.021481570181214882
SOX,2015Q3,2015-09-30,^SOX,602.72998,-0.11433567536865563
SOX,2015Q4,2015-12-31,^SOX,663.47998,0.10079140247843643
SOX,2016Q1,2016-03-31,^SOX,676.890015,0.020211664864401735
SOX,2016Q2,2016-06-30,^SOX,691.669983,0.021835110095397292
SOX,2016Q3,2016-09-30,^SOX,835.599976,0.2080905584130286
SOX,2016Q4,2016-12-30,^SOX,906.469971,0.0848133042550494
SOX,2017Q1,2017-03-31,^SOX,1011.400024,0.11575678881479456
SOX,2017Q2,2017-06-30,^SOX,1034.910034,0.023245016256792095
SOX,2017Q3,2017-09-29,^SOX,1171.73999,0.13221434859525205
SOX,2017Q4,2017-12-29,^SOX,1253.050049,0.06939257829716983
SOX,2018Q1,2018-03-29,^SOX,1328.900024,0.060532278866699984
SOX,2018Q2,2018-06-29,^SOX,1313.699951,-0.011438086180665108
SOX,2018Q3,2018-09-28,^SOX,1366.73999,0.040374545922472915
SOX,2018Q4,2018-12-31,^SOX,1155.170044,-0.15479897240732676
SOX,2019Q1,2019-03-29,^SOX,1395.51001,0.20805591977418003
SOX,2019Q2,2019-06-28,^SOX,1458.959961,0.045467213094372516
SOX,2019Q3,2019-09-30,^SOX,1558.75,0.06839806551757732
SOX,2019Q4,2019-12-31,^SOX,1849.619995,0.18660464795509224
SOX,2020Q1,2020-03-31,^SOX,1510.589966,-0.1832971258509778
SOX,2020Q2,2020-06-30,^SOX,1996.439941,0.3216292878513667
SOX,2020Q3,2020-09-30,^SOX,2244.120117,0.12406092009757064
SOX,2020Q4,2020-12-31,^SOX,2795.5,0.24569980850093698
SOX,2021Q1,2021-03-31,^SOX,3124.939941,0.11784651797531742
SOX,2021Q2,2021-06-30,^SOX,3345.310059,0.07051979307144052
SOX,2021Q3,2021-09-30,^SOX,3258.090088,-0.02607231301784696
SOX,2021Q4,2021-12-31,^SOX,3946.169922,0.21119116274110827
SOX,2022Q1,2022-03-31,^SOX,3429.0,-0.13105617148333226
SOX,2022Q2,2022-06-30,^SOX,2556.25,-0.2545202682997959
SOX,2022Q3,2022-09-30,^SOX,2306.699951,-0.09762349105134471
SOX,2022Q4,2022-12-30,^SOX,2532.110107,0.09771975583659254
SOX,2023Q1,2023-03-31,^SOX,3230.860107,0.2759556142792965
SOX,2023Q2,2023-06-30,^SOX,3673.060059,0.13686756385456822
SOX,2023Q3,2023-09-29,^SOX,3434.290039,-0.06500574892995503
SOX,2023Q4,2023-12-29,^SOX,4175.470215,0.21581758313453858
SOX,2024Q1,2024-03-28,^SOX,4905.209961,0.1747682796008161
SOX,2024Q2,2024-06-28,^SOX,5472.259766,0.11560153581772448
SOX,2024Q3,2024-09-30,^SOX,5173.060059,-0.05467571347014155
SOX,2024Q4,2024-12-31,^SOX,4979.930176,-0.037333779387307975
SOX,2025Q1,2025-03-31,^SOX,4270.430176,-0.14247187709966802
SOX,2025Q2,2025-06-30,^SOX,5546.540039,0.2988246641220813
SOX,2025Q3,2025-09-30,^SOX,6369.819824,0.14843123446530293
SOX,2025Q4,2025-12-31,^SOX,7083.129883,0.11198276854117806
SOX,2026Q1,2026-03-31,^SOX,7588.200195,0.0713060921291595
